class_label,time,mean_y,sd_y,n,cohort,variable
C4,6,0.7444436101251564,0.44628320368271546,27,CHARLS,env_formative
C4,7,0.7008153526897215,0.47046519635737627,924,CHARLS,env_formative
C4,8,0.7665563063660492,0.33393586241352075,20,CHARLS,env_formative
C4,9,0.6570278275187528,0.37242416800822237,591,CHARLS,env_formative
C1,0,-1.046676927705931,0.46630197958397673,1965,ELSA,env_formative
C1,2,-1.1255776129096287,0.3456401217567617,1893,ELSA,env_formative
C1,4,-1.1415628391322656,0.3237349411473338,1874,ELSA,env_formative
C1,6,-1.1730736674216664,0.349097470267889,1523,ELSA,env_formative
C1,8,-0.9538289194511246,0.341600432679065,1230,ELSA,env_formative
C1,10,-0.9530758830863745,0.36511962754439387,968,ELSA,env_formative
C1,12,-0.9487207914702688,0.38852982755522636,627,ELSA,env_formative
C1,14,-0.9559217353058397,0.378643194098697,445,ELSA,env_formative
C1,16,-0.95550905330788,0.3684864449168725,304,ELSA,env_formative
C2,0,-0.01231487549217167,0.4831849996693041,2066,ELSA,env_formative
C2,2,-0.128458873655309,0.41212721876464076,1961,ELSA,env_formative
C2,4,-0.2541729038054587,0.44601469711450736,1923,ELSA,env_formative
C2,6,-0.40113295344655336,0.48223387435673565,1542,ELSA,env_formative
C2,8,-0.43131426991434585,0.4336194761576426,1270,ELSA,env_formative
C2,10,-0.5488192538402626,0.42845298493924855,981,ELSA,env_formative
C2,12,-0.6548808356544024,0.43000886203794775,584,ELSA,env_formative
C2,14,-0.7190893516694855,0.45341160727266205,422,ELSA,env_formative
C2,16,-0.7622919268439078,0.44134615578148273,275,ELSA,env_formative
C3,0,0.5205704008563041,0.4048742142424159,3578,ELSA,env_formative
C3,2,0.41799170850572503,0.36496084974868553,3409,ELSA,env_formative
C3,4,0.3677355790242076,0.3568968784801081,3367,ELSA,env_formative
C3,6,0.27958511225457944,0.3610037508942294,2835,ELSA,env_formative
C3,8,0.1529175980930034,0.3486262725936483,2381,ELSA,env_formative
C3,10,0.10114913763129649,0.36156995316831364,1879,ELSA,env_formative
C3,12,0.0368835388642658,0.3909420140247316,1213,ELSA,env_formative
C3,14,-0.06299420586435464,0.4067465699401211,853,ELSA,env_formative
C3,16,-0.1719470402693175,0.4202630585270444,561,ELSA,env_formative
C4,0,0.9155319744275027,0.27771156223417087,1835,ELSA,env_formative
C4,2,0.9022726511831188,0.3136362894515103,1783,ELSA,env_formative
C4,4,0.9170421563541167,0.307041364679791,1761,ELSA,env_formative
C4,6,0.8621610303304307,0.3352689963253705,1542,ELSA,env_formative
C4,8,0.8276330186995355,0.393662312978131,1336,ELSA,env_formative
C4,10,0.8102244623077118,0.39287718646976666,1098,ELSA,env_formative
C4,12,0.763034025328951,0.4234175045932111,728,ELSA,env_formative
C4,14,0.6763327699668279,0.4095700656810318,545,ELSA,env_formative
C4,16,0.6185058430687566,0.4037911905437498,357,ELSA,env_formative
C1,0,-1.033044646818187,0.48141058768551825,3399,HRS,env_formative
C1,1,-1.0047574763570926,0.3566529782968421,125,HRS,env_formative
C1,2,-1.1563305494025768,0.3760050495843286,3085,HRS,env_formative
C1,3,-1.0431197302228372,0.3102789032996378,222,HRS,env_formative
C1,4,-1.1607847684059143,0.389981056820006,3052,HRS,env_formative
C1,5,-0.9799674774467557,0.3263329560548531,174,HRS,env_formative
C1,6,-0.9320967661893622,0.3563121966473351,2498,HRS,env_formative
C1,7,-0.9287020950558824,0.3497484113366793,154,HRS,env_formative
C1,8,-0.9224802084721062,0.3716718360160639,2003,HRS,env_formative
C1,9,-0.9482089052511968,0.3614540279034911,152,HRS,env_formative
C1,10,-0.936114670498148,0.37114743712768666,1208,HRS,env_formative
C1,11,-0.9557678244456714,0.3531056289968333,389,HRS,env_formative
C1,12,-0.922716363049049,0.38645471330055464,1140,HRS,env_formative
C1,13,-0.9685790504581792,0.39509042052006743,91,HRS,env_formative
C1,14,-0.9256641309366725,0.37744196316229295,914,HRS,env_formative
C1,15,-0.9541291065413604,0.3541172190257389,41,HRS,env_formative
C1,16,-0.9045836662894339,0.38111568142088015,542,HRS,env_formative
C1,17,-0.8956798020685954,0.38579826758870395,123,HRS,env_formative
C1,18,-0.9104772758926596,0.3953487497400701,389,HRS,env_formative
C1,19,-1.03921656555682,0.2932144337620594,39,HRS,env_formative
C1,20,-0.9185794772014647,0.38262035208748607,223,HRS,env_formative
C1,21,-0.9104054466383619,0.4462672167773878,17,HRS,env_formative
C2,0,-0.14892415145159615,0.47730452028975706,6224,HRS,env_formative
C2,1,-0.23853459373284802,0.40818756287611835,388,HRS,env_formative
C2,2,-0.22839443204785514,0.45674699400624386,5407,HRS,env_formative
C2,3,-0.3028185606697601,0.38203538660982994,653,HRS,env_formative
C2,4,-0.30678915493327075,0.45779607071304856,5349,HRS,env_formative
C2,5,-0.32449995840661056,0.4181115234515256,466,HRS,env_formative
C2,6,-0.35171503906184304,0.40798914462269403,4479,HRS,env_formative
C2,7,-0.3544008048794868,0.4128175929390977,449,HRS,env_formative
C2,8,-0.4277331443540996,0.4274776310107356,3681,HRS,env_formative
C2,9,-0.40241502854595185,0.4247046262024458,416,HRS,env_formative
C2,10,-0.4624294349278841,0.43125704246515,2392,HRS,env_formative
C2,11,-0.5020862225181469,0.4429065730366587,707,HRS,env_formative
C2,12,-0.5161680345150572,0.4333002398149137,2294,HRS,env_formative
C2,13,-0.5749754267336523,0.45229437184817667,171,HRS,env_formative
C2,14,-0.5611701281764403,0.4394870383549935,1830,HRS,env_formative
C2,15,-0.5464469893361383,0.49637909848382017,124,HRS,env_formative
C2,16,-0.579987875330158,0.4384120041072612,1185,HRS,env_formative
C2,17,-0.6068020886939837,0.42904175663565985,228,HRS,env_formative
C2,18,-0.602519803894021,0.4470438693682769,884,HRS,env_formative
C2,19,-0.6505843214419997,0.43412351215432715,62,HRS,env_formative
C2,20,-0.6077697269743947,0.45310607797893643,535,HRS,env_formative
C2,21,-0.6694255978935016,0.42895222706389863,45,HRS,env_formative
C3,0,0.4848175161873956,0.4002773161899824,7090,HRS,env_formative
C3,1,0.39529779480144445,0.358094551332044,337,HRS,env_formative
C3,2,0.44011537505414,0.38988735494889354,6358,HRS,env_formative
C3,3,0.3481906119480466,0.37967576644224427,565,HRS,env_formative
C3,4,0.38092923767597686,0.384118555561357,6280,HRS,env_formative
C3,5,0.2889054687972103,0.33866908667144696,447,HRS,env_formative
C3,6,0.2370154047972866,0.3987087259581346,5520,HRS,env_formative
C3,7,0.26547537727942855,0.3921063636222672,424,HRS,env_formative
C3,8,0.17902546882540066,0.4068262497081524,4689,HRS,env_formative
C3,9,0.13574252474731177,0.40904179908548727,435,HRS,env_formative
C3,10,0.10271093965425003,0.41593183093901037,3424,HRS,env_formative
C3,11,0.01337229007590932,0.4291642150846399,803,HRS,env_formative
C3,12,0.01763120681773911,0.42586223137264145,3305,HRS,env_formative
C3,13,-0.09476495400746544,0.45537950441369585,219,HRS,env_formative
C3,14,-0.07667967510187107,0.43385651746180587,2675,HRS,env_formative
C3,15,-0.1378074750386855,0.3973571034371992,138,HRS,env_formative
C3,16,-0.16139257493351553,0.44984235380762494,1846,HRS,env_formative
C3,17,-0.20966209119418092,0.4493944828470335,275,HRS,env_formative
C3,18,-0.25076202068243647,0.45949908426522007,1348,HRS,env_formative
C3,19,-0.30089952090284405,0.48218162956430094,106,HRS,env_formative
C3,20,-0.3329326735557788,0.4941627760980522,836,HRS,env_formative
C3,21,-0.4432211865014705,0.4271929476354224,70,HRS,env_formative
C4,0,0.8619453935552561,0.32347136557918843,4495,HRS,env_formative
C4,1,0.8175878966297195,0.346418364614199,170,HRS,env_formative
C4,2,0.842193283144569,0.329491477700789,4127,HRS,env_formative
C4,3,0.918565724749438,0.3318153280146148,315,HRS,env_formative
C4,4,0.8198922909244375,0.33799078824697776,4073,HRS,env_formative
C4,5,0.8667683512448829,0.34678149388047275,276,HRS,env_formative
C4,6,0.7763870982672426,0.3758216462599203,3654,HRS,env_formative
C4,7,0.7977467069052759,0.35737742044303794,262,HRS,env_formative
C4,8,0.7547440492456061,0.3790074901354943,3265,HRS,env_formative
C4,9,0.7323181847101168,0.41530750844580877,305,HRS,env_formative
C4,10,0.7261847029952831,0.3868885085632005,2532,HRS,env_formative
C4,11,0.6260590466034398,0.40693164773315316,508,HRS,env_formative
C4,12,0.6806740842484976,0.39520024093400974,2490,HRS,env_formative
C4,13,0.5947613070780036,0.3785774027558208,128,HRS,env_formative
C4,14,0.6222899208565333,0.4212131613261861,2076,HRS,env_formative
C4,15,0.603687830230919,0.435942972455869,104,HRS,env_formative
C4,16,0.5378309233683273,0.44680217051664844,1564,HRS,env_formative
C4,17,0.46932036720173076,0.4651501159542744,175,HRS,env_formative
C4,18,0.45987759902375336,0.44752346923770087,1224,HRS,env_formative
C4,19,0.3494241860079818,0.4976180900803552,78,HRS,env_formative
C4,20,0.3595107991252624,0.5049762139463718,808,HRS,env_formative
C4,21,0.14280905281364917,0.5439058331073424,41,HRS,env_formative
C1,0,-1.04397112584739,0.47274190668524796,338,MHAS,env_formative
C1,3,-1.2025078887304717,0.3801432732676603,338,MHAS,env_formative
C1,6,-1.1774718133272923,0.3714377188525736,335,MHAS,env_formative
C1,7,-1.3673326815004612,0.18828751529137833,3,MHAS,env_formative
C2,0,-0.37861175055679447,0.41763396423700283,1531,MHAS,env_formative
C2,2,0.010056906047519723,0,2,MHAS,env_formative
C2,3,-0.4686070286561691,0.39150413347729524,1529,MHAS,env_formative
C2,5,-0.5191286256570556,0.429836968948017,2,MHAS,env_formative
C2,6,-0.5122212873908896,0.3906535608065718,1499,MHAS,env_formative
C2,7,-0.5952674028370804,0.49968592284302427,30,MHAS,env_formative
C3,0,0.11864882584049066,0.4056402294807248,2637,MHAS,env_formative
C3,2,0.007616498563165449,0.3716889444222704,3,MHAS,env_formative
C3,3,0.13206744274458196,0.3804985531961135,2634,MHAS,env_formative
C3,5,0.3118720234018402,0.29266186156027524,3,MHAS,env_formative
C3,6,0.09574914265173595,0.37751690084599665,2566,MHAS,env_formative
C3,7,0.0741940657422952,0.42521979149650063,64,MHAS,env_formative
C3,NA,-0.09255452049839716,0.501866096802161,4,MHAS,env_formative
C4,0,0.7144780926588552,0.34406532527449796,1320,MHAS,env_formative
C4,2,0.6137757956661165,0.33332527898799347,2,MHAS,env_formative
C4,3,0.7121601325832243,0.32062495921827183,1318,MHAS,env_formative
C4,5,0.7462201951225721,0.16665418554510053,2,MHAS,env_formative
C4,6,0.6450648657379032,0.3563097443882449,1289,MHAS,env_formative
C4,7,0.4539428718237369,0.39062954302800273,28,MHAS,env_formative
C4,NA,0.8867205155363614,NA,1,MHAS,env_formative
C1,0,-0.9086328644876671,0.47353042705880977,4984,SHARE,env_formative
C1,1,-1.0464837837040173,0.38911602345134044,3,SHARE,env_formative
C1,2,-0.9891564703583281,0.32973525760246364,2770,SHARE,env_formative
C1,3,-1.0111506334646354,0.3366828479344228,403,SHARE,env_formative
C1,4,-0.9528607090675693,0.3586440369752984,3130,SHARE,env_formative
C1,5,-0.9542504365062331,0.35862773256903663,969,SHARE,env_formative
C1,6,-0.9976277391972272,0.35615449908958147,1347,SHARE,env_formative
C1,7,-1.0013679974126448,0.34259644078519874,570,SHARE,env_formative
C1,8,-1.0071451915542469,0.3549878457036228,1609,SHARE,env_formative
C1,9,-1.0013384294968866,0.3544851395639311,880,SHARE,env_formative
C1,10,-1.0792112110034486,0.3193833083770154,880,SHARE,env_formative
C1,11,-0.9839886376585903,0.34282565851772495,224,SHARE,env_formative
C1,12,-0.9982571931936968,0.3758579168011794,208,SHARE,env_formative
