log_hr,hr,se_log_hr,z,p_value,variable,model,cohort,n,n_events,hr_lower,hr_upper
0.10386240920961767,1.1094477946145487,0.0052462722083035694,19.797373274918677,3.13626566945887e-87,age,M4_Int_mort,SHARE,41748,698,1.0980981354934627,1.120914760885152
-0.8114433693099221,0.4442164349097499,0.07989638004306267,-10.156196924974187,3.1097070023165062e-24,female,M4_Int_mort,SHARE,41748,698,0.37982666533040377,0.5195218215452989
0.1409471746649907,1.1513638251984826,0.032416903139195916,4.347953105198649,1.3741397527953944e-5,chronic_n,M4_Int_mort,SHARE,41748,698,1.0804850325285942,1.2268921993980513
0.13199673975284648,1.1411045989781499,0.15392603021089513,0.8575335800708744,0.3911500647358935,High IC / Low Env,M5_6grp_mort,SHARE,41748,698,0.8439194060054931,1.5429431964035303
0.02651295630780048,1.0268675515875632,0.14741380023898057,0.1798539639085274,0.8572672172317948,Medium IC / High Env,M5_6grp_mort,SHARE,41748,698,0.7691893644273645,1.3708678477223153
0.33406897594743346,1.3966394747831952,0.13692023734257264,2.439880199094289,0.014692133333501509,Medium IC / Low Env,M5_6grp_mort,SHARE,41748,698,1.0679119686210647,1.8265567573340176
0.28211946276652283,1.3259371106411832,0.1560969431096292,1.8073349621484012,0.07071006789595226,Low IC / High Env,M5_6grp_mort,SHARE,41748,698,0.9764511595594701,1.800509123434978
0.7628992612977668,2.144484637549632,0.12805554133486977,5.95756539190099,2.560232824757923e-9,Low IC / Low Env,M5_6grp_mort,SHARE,41748,698,1.6684756084971388,2.756297027817331
0.1061955923245977,1.1120393616004096,0.005137467031022089,20.67080755620349,6.344578646168405e-95,age,M5_6grp_mort,SHARE,41748,698,1.1008979411533213,1.1232935365953434
-0.7790932368771492,0.4588218654836914,0.07859926234003395,-9.912220721699113,3.683658795780885e-23,female,M5_6grp_mort,SHARE,41748,698,0.3933136904137518,0.5352407235671807
0.14140620671794932,1.1518924594196092,0.03248462507699208,4.35301950946952,1.342751959171238e-5,chronic_n,M5_6grp_mort,SHARE,41748,698,1.0808376491383003,1.2276184486408248
